"","AUS","AUT","BEL","BGR","BHR","BMU","BRA","CAN","CHE","CHN","CSK","DEU","DNK","EGY","ESP","FIN","FRA","GBR","GRC","GTM","HKG","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JPN","KEN","KOR","KWT","LBN","LKA","MAR","MLI","MRT","MYS","NER","NLD","NOR","NZL","PAK","PHL","POL","PRT","ROU","SAU","SGP","SUN","SWE","SYR","THA","TUR","TZA","USA","VEN","YUG","ZMB","ARG","CHL","COD","COG","COL","LBR","MLT","MUS","MWI","NGA","PAN","SEN","TTO","ETH","HND","LBY","NIC","PER","JOR","SDN","AGO","BDI","BFA","BGD","BHS","BLZ","BOL","BRB","CIV","CMR","CRI","CYP","DDR","DJI","DOM","DZA","ECU","GHA","GIB","GIN","GLP","GMB","GUF","GUY","HTI","JAM","KHM","KIR","KNA","MDG","MEX","MOZ","NCL","PNG","PRY","QAT","SLE","SLV","SUR","TUN","UGA","URY","VNM","ZAF","AFG","ALB","ARE","BEN","CAF","CUB","FJI","FLK","GAB","LAO","MAC","MMR","MNG","NPL","OMN","PRK","RWA","SOM","SYC","TCD","TGO","WSM","YMD","ZWE","GNB","SPM","GNQ","SHN","GRL"
"AUS",6510000,12660000,66791000,91000,13622000,65000,9029000,195353000,12535000,44223000,10808000,294969000,7805000,81057000,35163000,20559000,238233000,702911000,39710000,95000,99603000,3950000,51303000,44313000,9283000,44072000,2230000,184000,6931000,168491000,2205163000,10276000,47335000,22226000,4901000,13651000,3579000,0,6000,124855000,5000,28402000,21101000,333966000,6543000,66873000,35945000,4922000,5919000,17414000,138350000,99155000,25950000,158000,47148000,9842000,6898000,671911000,2554000,28651000,12469000,7465000,23875000,76000,33000,1880000,395000,7448000,8455000,2819000,2211000,2155000,31000,7542000,749000,16000,2569000,243000,10031000,418000,7816000,992000,17000,3000,5588000,136000,467000,1425000,2673000,245000,55000,72000,446000,15340000,76000,109000,3055000,466000,6782000,3000,5000,195000,7000,54000,1403000,12000,9127000,2516000,17078000,1786000,260000,8167000,8089000,27121000,162678000,4000,2062000,124000,44000,28000,41000,930000,289000,1638000,92500000,179000,0,6577000,230000,1000,3772000,38878000,1000,18000,107000,43000,4487000,0,59000,3047000,3411000,42000,85000,506000,2000,10000,3122000,831000,1442000,0,0,0,0,0
"AUT",14700000,0,44950000,23553000,1047000,119000,27983000,46338000,437738000,13936000,68953000,855720000,82521000,2945000,36843000,53643000,104942000,313103000,33991000,1071000,4585000,86454000,3979000,3659000,6948000,29765000,10924000,1132000,13120000,351973000,26436000,2479000,6249000,3845000,11889000,306000,3358000,64000,28000,2172000,55000,78324000,53678000,2330000,1641000,863000,78963000,30186000,51485000,6356000,5077000,92548000,161647000,8635000,9736000,17579000,869000,175381000,5114000,143675000,2516000,6885000,1421000,2846000,449000,2620000,499000,1316000,1293000,1298000,12113000,1166000,308000,341000,1793000,420000,6430000,463000,2183000,1869000,1372000,1737000,47000,61000,0,0,5000,1177000,127000,862000,618000,1106000,2444000,43876000,75000,240000,7248000,1022000,827000,29000,156000,40000,22000,1000,232000,250000,386000,43000,0,0,131000,2427000,4533000,896000,125000,4e+05,838000,237000,150000,141000,8069000,431000,440000,188000,28933000,104000,845000,2067000,290000,154000,1091000,85000,0,18000,24000,3000,339000,372000,157000,168000,2485000,14000,253000,0,120000,77000,6000,154000,0,26000,5000,0,0,0
"BEL",34414000,95672000,0,11399000,2668000,598000,71125000,89943000,284697000,12330000,40130000,3962386000,152638000,4634000,160056000,60807000,3060616000,670799000,85821000,3705000,50102000,20745000,9465000,59361000,31063000,61146000,23190000,6320000,122348000,770781000,122347000,10011000,24208000,9836000,20641000,2781000,17598000,1202000,2909000,13171000,574000,2610343000,128057000,8347000,9451000,9076000,56482000,53721000,22550000,26489000,14256000,91116000,255611000,12865000,10046000,33919000,3720000,978012000,46273000,44807000,7654000,49476000,19990000,133242000,3032000,9168000,2689000,5105000,1355000,496000,28875000,3676000,4974000,3564000,2103000,3979000,20052000,1139000,17272000,3483000,3393000,12210000,4554000,392000,0,4733000,409000,1771000,445000,11727000,6318000,3098000,8e+06,26279000,250000,3131000,70927000,3608000,1454000,1278000,9554000,3840000,293000,422000,1192000,2066000,4471000,108000,103000,8699000,2191000,35480000,5929000,4175000,309000,495000,2370000,1506000,5531000,2206000,11012000,1636000,2865000,1267000,55072000,315000,653000,2922000,1995000,340000,8918000,62000,0,2531000,23000,5000,2789000,0,98000,3415000,281000,4558000,386000,44000,699000,2314000,27000,713000,40000,417000,38000,86000,10000,0
"BGR",773000,15779000,7373000,0,113000,1000,4727000,1680000,4993000,0,0,72725000,3342000,11454000,6822000,4536000,22677000,17153000,12771000,3000,0,0,386000,8704000,272000,4090000,11926000,60000,2235000,62734000,13358000,0,0,2257000,9297000,161000,2228000,17000,0,142000,2000,8336000,3503000,37000,2269000,0,0,0,0,0,448000,0,3681000,0,199000,4244000,0,0,26000,42100000,87000,297000,204000,4000,0,865000,30000,969000,16000,0,1297000,21000,20000,7000,59000,3000,9137000,0,1000,1114000,969000,0,0,3000,0,0,0,4000,0,102000,22000,24000,0,0,0,0,0,299000,196000,0,0,0,13000,0,0,0,0,59000,0,0,41000,4000,0,0,0,3000,0,132000,0,0,1098000,2000,0,0,0,0,0,0,94000,0,0,0,0,0,0,0,117000,0,0,0,0,0,82000,0,11000,7000,0,0,0,0,0,0,0,0
"BHR",3.3e+07,1000,753000,0,0,0,670000,5316000,34096000,18000,0,1485000,656000,6000,2102000,0,207000,21558000,1000,0,8896000,0,5000,447000,114000,2759000,1000,0,0,115000,26188000,3000,6797000,242000,646000,1000,0,0,0,3160000,0,2373000,624000,8985000,251000,456000,0,12996000,0,37672000,27712000,0,6119000,0,12000,878000,3598000,100875000,0,0,1000,0,0,20000,0,0,0,0,460000,0,3000,0,0,0,274000,0,0,0,0,2000,10000,0,0,0,0,1095000,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,2962000,0,306000,68000,0,0,413000,0,3034000,0,0,0,0,68000,0,3e+05,16000,1000,0,11375000,0,0,0,0,0,0,0,3000,161000,10000,0,2197000,0,0,0,0,0,0,0,508000,3000,0,0,0,0,0
"BMU",1000,53000,245000,0,1000,0,206000,350000,0,0,0,561000,175000,171000,994000,0,1502000,14700000,23000,0,25000,0,0,0,11000,0,0,70000,2000,1755000,53000,52000,0,0,0,0,0,0,0,0,0,4841000,0,0,2312000,87000,0,0,0,0,0,0,0,0,1000,62000,0,0,0,0,3000,67000,0,0,0,0,0,1000,0,0,0,0,1000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,7000,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,3561000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",10119000,50099000,86629000,12404000,44000,54000,0,62312000,47545000,70051000,14526000,487840000,71356000,1819000,164724000,30525000,204799000,207733000,13305000,925000,14734000,14985000,1061000,1857000,8114000,12939000,13055000,2185000,13523000,257514000,249403000,83000,836000,1080000,4368000,12871000,20040000,0,8000,2982000,0,216705000,53554000,2935000,37004000,2601000,45361000,53405000,6003000,192000,7214000,79415000,82557000,6255000,7428000,9263000,11000,931266000,20611000,22380000,7e+05,175010000,38880000,684000,46000,11232000,119000,994000,18000,19000,1716000,2398000,1921000,7012000,607000,3e+05,188000,843000,12264000,4418000,4267000,1806000,0,12000,0,9148000,530000,13152000,524000,301000,168000,560000,1156000,41484000,2000,578000,11586000,3651000,1278000,41000,0,91000,10000,494000,346000,53000,4313000,8000,2000,188000,630000,30490000,1407000,3000,29000,10769000,2000,30000,1568000,822000,11098000,17000,35715000,12447000,28964000,114000,0,17000,59000,0,0,74000,0,1000,0,0,18000,0,0,1000,3576000,1000,1641000,7000,3000,1000,1000,0,0,10000,0,0,0,0
"CAN",152193000,21004000,145818000,613000,138000,12913000,98309000,0,47258000,261172000,4498000,428448000,29469000,2168000,78333000,13962000,224959000,1463222000,18862000,5044000,22603000,5301000,9705000,107289000,25836000,10429000,2704000,692000,27300000,243030000,1148852000,3929000,35989000,6732000,12888000,5911000,6741000,851000,580000,16498000,645000,134876000,154610000,45166000,6138000,28832000,31132000,17306000,13246000,6998000,11814000,285525000,51985000,7848000,14264000,14288000,6113000,14115958000,71857000,15086000,2361000,61401000,12064000,1231000,166000,34024000,1049000,1112000,365000,758000,13974000,6744000,1563000,27564000,164000,3994000,879000,2638000,31797000,468000,1462000,753000,0,218000,0,13703000,1755000,1949000,14202000,5865000,1028000,7771000,1393000,9696000,0,9311000,28057000,5689000,7819000,23000,66000,491000,123000,45000,7319000,5119000,40175000,3000,0,11257000,552000,74582000,1190000,681000,2987000,145000,233000,144000,3776000,1948000,8978000,8e+05,2829000,1282000,43980000,53000,4347000,793000,1051000,0,58411000,1101000,2000,716000,15000,0,2664000,0,0,0,6716000,0,120000,8716000,9000,1769000,160000,28000,17000,349000,6727000,0,0,3407000
"CHE",79952000,378192000,178819000,17168000,2565000,1083000,100504000,102681000,0,19552000,44780000,1093609000,124353000,18640000,160851000,83336000,609123000,631336000,44541000,4923000,114478000,33470000,10192000,12609000,15471000,55517000,10467000,5645000,72904000,415940000,229616000,5182000,3618000,10750000,17384000,3798000,7763000,225000,260000,8293000,319000,182171000,91488000,14412000,6809000,8150000,54615000,85635000,36860000,15989000,31070000,69379000,215128000,10073000,23798000,73180000,3385000,605399000,43649000,130514000,4565000,51120000,16193000,10564000,745000,20825000,2846000,1430000,897000,456000,22096000,2939000,2060000,1615000,3314000,1465000,19133000,2522000,22703000,1840000,3520000,5551000,157000,149000,0,2457000,159000,2630000,681000,3097000,1562000,4402000,2727000,28698000,393000,1627000,19058000,6122000,3912000,910000,1217000,634000,23000,97000,376000,1035000,2893000,526000,50000,356000,1988000,66310000,5836000,543000,682000,365000,0,1208000,3199000,697000,3808000,2268000,3403000,6044000,88374000,1586000,1291000,0,737000,235000,13628000,938000,0,309000,121000,23000,352000,188000,144000,0,609000,212000,305000,0,213000,573000,4000,479000,3245000,0,0,32000,188000,0
"CHN",53707000,8403000,23255000,0,15034000,94000,226000,48854000,19715000,0,0,97737000,11233000,25819000,15235000,9351000,104895000,82634000,265000,72000,688493000,0,39010000,0,3311000,17156000,19857000,231000,79000,84442000,491116000,3404000,0,25702000,11968000,15632000,18402000,6322000,3849000,69017000,1167000,45822000,5177000,7303000,26827000,2305000,0,462000,0,0,141530000,0,20964000,0,15000,691000,70881000,0,4481000,3507000,13757000,427000,3160000,398000,4175000,49000,4610000,976000,2635000,0,26351000,98000,7136000,1919000,3093000,177000,25635000,0,306000,5589000,25976000,0,0,1154000,0,0,0,27000,393000,0,2934000,49000,0,0,0,0,0,346000,3542000,0,0,25000,2013000,5000,328000,0,0,7342000,0,0,0,237000,0,0,2198000,574000,0,4667000,13000,0,432000,684000,0,0,0,2486000,0,0,2505000,0,0,896000,0,0,1000,0,12710000,0,0,0,0,0,4378000,0,811000,1813000,119000,0,0,0,0,0,0,0
