"","AUS","AUT","BEL","BRA","CAN","CHE","COL","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","HKG","IDN","IRL","ISL","ITA","JPN","KOR","KWT","LKA","MAR","MLT","MYS","NCL","NLD","NOR","NPL","NZL","PAK","PER","PHL","POL","PRT","SAU","SGP","SWE","THA","TUR","USA","YUG","ARG","CMR","CUB","DZA","JAM","JOR","KEN","MAC","SEN","SLV","TTO","TUN","URY","ECU","EGY","ETH","HND","LBY","MDG","PAN","VEN","BHR","CYP","OMN","QAT","SYC","AGO","ALB","ARE","BEN","BFA","BGD","BGR","BHS","BLZ","BMU","BOL","BRB","CHL","CHN","CIV","COD","COG","CRI","CSK","DDR","DOM","GAB","GHA","GIB","GNB","GTM","GUF","GUY","HTI","HUN","IND","IRN","IRQ","ISR","KNA","LBN","LBR","MEX","MRT","MUS","MWI","NGA","NIC","PRK","PRY","ROU","SDN","SLE","SUN","SUR","SYR","TZA","VNM","ZAF","ZMB","ZWE","AFG","CAF","DJI","FJI","FLK","GIN","GMB","GRL","KHM","KIR","LAO","MLI","MMR","MOZ","NER","PNG","RWA","SHN","SOM","TGO","UGA","WSM","YMD","BDI","GNQ","MNG","SPM","TCD"
"AUS",28926000,39043000,220464000,39699000,428514000,50360000,1266000,713307000,13006000,127643000,16745000,583325000,1111129000,716000,18241000,340469000,377567000,9813000,34235000,574748000,6976487000,679987000,158028000,39526000,1059000,7711000,587063000,67559000,180187000,119068000,410000,1012210000,51943000,9422000,244426000,98541000,20001000,368073000,544880000,83757000,173264000,13759000,2733115000,96520000,83702000,103000,1479000,14341000,3776000,6140000,20011000,4357000,173000,1232000,25077000,322000,2357000,6965000,83061000,10057000,1898000,71943000,4439000,1066000,13381000,114760000,1839000,12992000,30451000,1739000,27000,214000,89296000,0,18000,48373000,1309000,424000,214000,4970000,39000,9101000,19218000,768323000,332000,16000,2000,1312000,28967000,18766000,440000,0,131000,51000,17000,1226000,60000,1717000,11000,20949000,195455000,278072000,195660000,39896000,344000,1085000,631000,32578000,0,25579000,1935000,4387000,554000,40014000,161000,29710000,2921000,547000,1034983000,43000,4073000,7082000,42347000,89987000,7448000,852000,62000,4000,8000,182059000,14000,11000,2000,6000,6932000,50562000,711000,2000,12423000,914000,272000,427675000,28000,0,465000,2000,1093000,12702000,39071000,0,0,0,0,0
"AUT",49605000,0,270393000,24095000,81703000,1289593000,11271000,5353104000,209667000,131113000,186036000,645143000,711699000,658000,110080000,32389000,13959000,35618000,4846000,1880005000,170234000,18035000,19493000,3545000,12772000,8495000,11127000,1805000,416692000,209708000,520000,10130000,9636000,7671000,4193000,247921000,53528000,146825000,27846000,470792000,40552000,127169000,401641000,590048000,46242000,3420000,8763000,141766000,88000,21060000,16775000,76000,3227000,219000,12500000,31562000,4884000,7953000,27864000,4480000,1457000,99963000,3056000,1287000,9299000,6336000,15725000,1884000,5871000,144000,3754000,6755000,24988000,96901000,1055000,1413000,117873000,189000,34000,3212000,6643000,385000,10147000,86172000,4281000,6146000,1560000,2163000,236749000,229213000,2375000,431000,1403000,70000,197000,2064000,143000,414000,2558000,2000,43301000,215466000,173490000,33461000,25000,37563000,177000,25664000,121000,466000,1950000,172302000,401000,4871000,3392000,197111000,5917000,709000,477737000,90000,56789000,2279000,4124000,86024000,5184000,2374000,714000,90000,337000,3735000,9000,3498000,1318000,74000,0,7000,9000,228000,778000,988000,3047000,188000,413000,0,4819000,12480000,1090000,4000,1103000,250000,1000,1711000,9000,3000
"BEL",150194000,507119000,0,174884000,213990000,1492385000,40708000,13299823000,670904000,542374000,262161000,11275228000,4954237000,13408000,206742000,252710000,56179000,222109000,21341000,3536667000,374695000,173581000,67583000,33418000,88190000,23469000,59085000,12228000,8935455000,572931000,214000,24919000,64346000,72352000,36350000,93539000,285852000,473129000,112606000,1097726000,51523000,154853000,1991521000,164613000,160814000,38315000,27677000,651488000,7128000,47645000,42860000,383000,22662000,6430000,16044000,96648000,7457000,11566000,106110000,4453000,9257000,86779000,26851000,5544000,140885000,18517000,18283000,25696000,14499000,413000,27983000,2177000,108837000,17219000,10649000,26956000,60462000,1773000,532000,28417000,10563000,2033000,45514000,104287000,58670000,260981000,11224000,6715000,75735000,129160000,10876000,10081000,12472000,1636000,8757000,8691000,1454000,2636000,2477000,75158000,364880000,270047000,340535000,404607000,704000,109592000,6656000,262406000,22622000,5168000,3904000,600179000,3674000,2239000,2741000,194538000,78192000,5137000,618740000,4980000,98855000,38906000,11770000,256417000,19978000,9164000,2596000,1295000,2794000,883000,226000,11632000,2051000,5223000,196000,499000,191000,6237000,2376000,8022000,5934000,2115000,24890000,1000,16137000,11376000,10045000,44000,5832000,21078000,371000,24000,25000,637000
"BRA",104936000,153060000,308266000,0,297341000,156604000,124206000,1673437000,183906000,605152000,106401000,1192803000,669346000,3545000,149373000,38437000,41826000,36880000,11750000,975341000,1560862000,44366000,34917000,37516000,81288000,7939000,40347000,394000,741345000,176908000,47000,15523000,67873000,94478000,111319000,306425000,148948000,106315000,78652000,256890000,45487000,41111000,3963188000,107139000,1072342000,4058000,0,107214000,1450000,15796000,2456000,38000,3150000,4081000,18828000,30765000,286538000,55051000,59506000,1332000,17831000,1218000,3531000,12718000,223673000,1340000,10060000,8736000,26346000,4000,118681000,0,28781000,2023000,406000,6349000,15135000,7455000,317000,2548000,180267000,6614000,450688000,72224000,30240000,105859000,35786000,21636000,95093000,85381000,11621000,10040000,1351000,152000,544000,14894000,1639000,7416000,6719000,114022000,246801000,238988000,288899000,25935000,885000,40309000,4094000,469917000,5469000,638000,676000,271505000,5114000,2124000,408910000,103558000,53076000,1544000,370212000,12136000,11707000,21008000,0,103056000,123000,580000,1000,51000,24000,3175000,0,873000,299000,3000,0,0,0,78000,3000,72286000,403000,3281000,124000,0,0,7875000,44000,14000,268000,105000,39000,0,0,0
"CAN",543673000,114322000,531768000,985246000,0,202455000,133247000,1768750000,83680000,266748000,114249000,1043544000,3181584000,3311000,77524000,157018000,96812000,167923000,14115000,1012335000,4722206000,378296000,72290000,24365000,79872000,2139000,117353000,1730000,572402000,407146000,423000,131911000,46586000,33271000,80180000,12174000,84199000,137073000,127601000,308688000,132171000,60710000,41836469000,81053000,109766000,3785000,359655000,314900000,70145000,7267000,13818000,46000,7732000,14404000,125085000,61113000,13555000,42091000,42277000,1992000,17866000,43047000,2643000,12541000,495312000,1094000,3718000,2141000,4203000,40000,2036000,86000,39072000,2917000,2806000,63848000,6298000,21365000,3418000,218136000,6227000,38394000,96014000,742240000,16155000,22341000,0,34641000,109536000,8510000,34911000,2692000,20564000,84000,2238000,18853000,1091000,13549000,22950000,122000,297216000,35836000,128279000,80340000,8004000,34456000,2106000,412697000,826000,756000,6093000,89903000,12343000,16000,3534000,18820000,2720000,752000,1314834000,4294000,17898000,11030000,305000,175447000,10202000,519000,296000,22000,0,3304000,11000,1625000,177000,6985000,21000,0,0,0,2990000,12078000,0,2135000,0,0,1744000,1134000,156000,81000,26811000,0,0,0,12936000,0
"CHE",191098000,1217440000,1698048000,348495000,296377000,0,68090000,5811973000,323764000,414208000,247673000,2840991000,1738283000,2704000,136824000,580925000,64114000,69496000,9508000,2137550000,751722000,139028000,64821000,16959000,34402000,10540000,47078000,2030000,835689000,275937000,122000,36845000,38788000,38399000,47376000,181726000,307872000,515701000,200282000,625610000,82253000,345534000,2786230000,3.55e+08,215802000,20369000,27413000,190958000,2889000,18180000,33081000,1571000,6188000,3620000,6659000,28788000,16953000,37703000,85410000,25475000,5893000,51229000,9373000,4642000,98680000,7454000,10723000,6977000,15344000,465000,31408000,3212000,103416000,8266000,1719000,8778000,71477000,5338000,1092000,21319000,8030000,1450000,43430000,139425000,24714000,15049000,1272000,10518000,139896000,131619000,8328000,3434000,13809000,1510000,3314000,19316000,404000,558000,4739000,170525000,127721000,266066000,211992000,665360000,109000,142475000,3282000,222145000,3546000,3173000,2127000,316879000,9500000,9052000,5451000,79787000,5437000,13555000,298168000,1062000,50798000,9204000,639000,300945000,8541000,10399000,716000,405000,398000,4204000,0,5565000,466000,541000,79000,57000,182000,1776000,5936000,12444000,1894000,611000,532000,18000,2294000,16492000,3736000,8000,1500000,1258000,79000,1342000,0,62000
"COL",2697000,41615000,58276000,9637000,86778000,69420000,370000,728157000,52884000,166690000,118422000,145231000,79616000,2517000,945000,1164000,16000,10340000,353000,183880000,173731000,5014000,311000,0,4024000,176000,81000,1000,238339000,54254000,0,198000,7000,29694000,654000,20283000,13198000,270000,4023000,150059000,61000,9667000,1326619000,19101000,52144000,4000,5580000,65365000,1024000,350000,18000,0,3000,1518000,16009000,316000,1451000,63857000,13000,49000,4989000,538000,7000,10027000,171238000,623000,12000,0,0,0,0,0,8000,0,591000,895000,4579000,417000,304000,30000,2164000,663000,64321000,5226000,127000,27000,19000,5745000,3291000,40551000,5366000,0,142000,9111000,0,4714000,183000,233000,1424000,9885000,41000,497000,31000,9423000,981000,670000,6000,19883000,16000,0,0,86000,2564000,0,545000,13538000,138000,0,20227000,1555000,2521000,0,0,496000,0,0,0,0,0,6000,0,1000,0,7000,0,0,0,0,0,735000,0,0,11000,0,1000,0,42000,0,0,0,0,0,0,0
"DEU",1192198000,10125569000,14184540000,1831685000,1239831000,10037640000,376990000,0,3700162000,2840211000,2055651000,22078473000,13129453000,38654000,1546085000,582812000,690111000,777704000,102144000,16662925000,2535443000,635012000,571855000,72659000,264950000,1.27e+08,587428000,32845000,16877386000,2396396000,2388000,203798000,244054000,215472000,351539000,906373000,1094147000,2748310000,792550000,5928695000,404168000,818166000,12278666000,3115689000,999301000,136144000,102644000,1498285000,17957000,240894000,210522000,2269000,37207000,28218000,43780000,349042000,112899000,167510000,497857000,85530000,28765000,909253000,28611000,25765000,675732000,58850000,93185000,88027000,84779000,2070000,101822000,20234000,363195000,15709000,17586000,62566000,456831000,9614000,452000,34423000,37555000,8760000,273624000,916226000,119949000,139120000,23258000,73055000,985898000,0,37557000,33850000,80467000,2144000,7209000,87999000,3884000,4091000,9313000,466000,741922000,1473982000,1702843000,790652000,1724000,243382000,50143000,1163143000,13990000,17445000,22317000,1492969000,29805000,33138000,61868000,877369000,147036000,27553000,3913378000,13064000,420009000,132563000,16562000,2501472000,86739000,24423000,27926000,2486000,2913000,6465000,35000,12922000,7767000,1712000,3976000,524000,1658000,24081000,60987000,31540000,33907000,11534000,13048000,10000,21879000,27031000,25882000,1247000,17837000,13015000,521000,1950000,9000,3150000
"DNK",72322000,167208000,333575000,31713000,102587000,300804000,20618000,3078472000,209495000,177281000,374070000,881954000,2548615000,1844000,63605000,50352000,11742000,81042000,81833000,893564000,320760000,23190000,88357000,4760000,15723000,27297000,39911000,2407000,637240000,1049232000,192000,19850000,39504000,6340000,21063000,29569000,53291000,152699000,57139000,2057064000,48026000,7806000,760215000,75174000,42838000,7395000,6893000,27764000,1213000,14516000,12168000,444000,3503000,3328000,8912000,6230000,15240000,7838000,18908000,5866000,7277000,27260000,4214000,4054000,43043000,10746000,14455000,10354000,21050000,974000,13074000,256000,46388000,10712000,693000,11918000,10548000,2645000,1759000,14831000,2578000,1779000,17715000,43535000,3804000,1610000,684000,4245000,40825000,97553000,1623000,427000,3448000,1725000,375000,4424000,398000,603000,1666000,45000,23194000,103844000,116888000,27750000,1203000,16822000,7591000,25109000,198000,2187000,4933000,86160000,2046000,214000,552000,19509000,9990000,2143000,88441000,2178000,18977000,21645000,15197000,58310000,2829000,540000,1286000,112000,2146000,413000,43000,1887000,1311000,245384000,75000,141000,212000,279000,10761000,3963000,714000,501000,1883000,4000,1058000,10201000,1261000,29000,12408000,373000,0,101000,10000,85000
"ESP",65731000,99248000,616508000,218467000,159598000,345727000,149953000,2435599000,143820000,0,139834000,3900244000,1952509000,5584000,94884000,40382000,23358000,94393000,9409000,1583266000,389418000,28467000,106905000,1173000,348782000,13236000,20005000,3715000,682859000,126733000,12000,22946000,13700000,46847000,5669000,31711000,513333000,542398000,41629000,265789000,13853000,85876000,1302033000,81528000,398895000,30178000,188728000,546844000,653000,51302000,9573000,31000,14911000,11569000,5446000,116215000,19124000,40130000,119045000,1739000,8481000,298436000,5266000,9924000,314604000,11481000,20520000,3577000,7699000,75000,45852000,898000,50475000,11609000,2454000,7067000,38250000,3182000,0,18575000,8666000,1308000,150052000,65852000,47253000,12573000,9693000,33232000,46458000,26343000,22718000,8480000,4309000,5934000,6828000,15061000,689000,73000,8475000,31715000,74300000,332781000,194518000,108688000,211000,76675000,3440000,423657000,27984000,2115000,1298000,275131000,8700000,3627000,9766000,75503000,4404000,6199000,261740000,2399000,128889000,1302000,1043000,95835000,1895000,746000,839000,1828000,820000,228000,0,19587000,3677000,721000,14000,41000,55000,2444000,284000,2755000,2646000,46000,2414000,9000,1049000,6456000,637000,14000,4248000,997000,54336000,0,823000,344000
