"","ARE","AUS","AUT","BEL","BGD","BMU","CAN","CHE","CIV","CSK","DEU","DNK","EGY","ESP","ETH","FIN","FRA","GBR","GRC","GRL","HKG","IDN","IRL","ISL","ISR","ITA","JOR","JPN","LKA","MAR","MYS","NCL","NLD","NOR","NZL","PAK","PER","PHL","SAU","SGP","SWE","THA","TTO","TUR","USA","YUG","ARG","BRA","GLP","HUN","PRT","CRI","DOM","ECU","NIC","AFG","BDI","BGR","BHR","BHS","BOL","BRB","CHL","CHN","CMR","COL","CUB","CYP","DDR","DZA","FJI","GHA","GTM","GUY","HND","IND","IRN","IRQ","JAM","KEN","KHM","KNA","KOR","KWT","LBN","LBR","LBY","MAC","MEX","MLT","MMR","MOZ","MUS","MWI","NGA","NPL","OMN","PNG","POL","PRK","QAT","ROU","SDN","SEN","SOM","SUN","SYC","SYR","TUN","TZA","UGA","URY","VEN","YMD","ZAF","AGO","ALB","BEN","BLZ","CAF","COD","COG","DJI","GAB","GIB","GIN","GUF","HTI","MRT","NER","PAN","PRY","SLV","SUR","TCD","TGO","VNM","ZMB","ZWE","BFA","FLK","GMB","GNB","KIR","LAO","MDG","MLI","MNG","RWA","SLE","WSM","GNQ","SHN","SPM"
"ARE",0,362673000,439000,151338000,4349000,0,27771000,112052000,12000,0,623076000,63000,0,711217000,389000,3000,1611112000,466724000,48000,0,7493000,0,207000,0,0,469304000,160000,7982865000,1000,19000,75956000,0,335220000,34000,24959000,318233000,1000,181728000,103934000,378649000,69485000,37995000,0,422000,2138020000,0,0,410746000,0,0,217383000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324328000,0,0,0,0,0,0,0,0,0,242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",194437000,37570000,23481000,156593000,49571000,146000,355670000,50181000,8e+05,33087000,617856000,10303000,213445000,128938000,5536000,30052000,568555000,834797000,20177000,6000,372018000,364606000,3792000,15451000,49807000,457299000,6050000,6961159000,41787000,10874000,572761000,66022000,192051000,69024000,1103569000,67263000,9804000,256140000,744597000,656396000,58510000,188347000,28405000,14293000,2492923000,91750000,53900000,20483000,291000,32000,39843000,363000,176000,7151000,322000,43000,43000,2305000,30419000,14191000,20000,4330000,4651000,765564000,101000,1141000,519000,856000,17220000,102000,209397000,69000,760000,102000,23000,362352000,211876000,198235000,3582000,11172000,0,121000,700488000,113296000,260000,163000,30899000,328000,19348000,2861000,7149000,465000,19309000,505000,2272000,1973000,32902000,404105000,68351000,3294000,14539000,15946000,6559000,9000,849000,674587000,1790000,119000,241000,7629000,2477000,7750000,11462000,38429000,99394000,0,2000,47000,30000,0,1849000,38000,54000,2000,182000,25000,50000,6000,0,557000,1098000,8000,652000,20000,0,6000,1246000,14342000,3277000,15000,3000,2000,44000,15802000,59000,11000,28000,4000,11000,52000,5373000,0,0,0
"AUT",77673000,58223000,0,238924000,803000,373000,74462000,1063384000,5740000,268690000,4485293000,187011000,55448000,141152000,5065000,166732000,682842000,699111000,163611000,52000,30692000,78869000,35307000,6556000,38539000,1448533000,40484000,149995000,965000,12791000,12748000,899000,373112000,168992000,11265000,9714000,18824000,10334000,283627000,35950000,367307000,10078000,10784000,117701000,508130000,542462000,29567000,20208000,945000,351000,71471000,1314000,567000,5552000,1055000,857000,515000,122985000,5342000,232000,912000,3959000,13507000,55968000,5199000,11981000,6327000,18617000,210579000,88731000,536000,970000,3280000,66000,1583000,61183000,135673000,262266000,771000,8193000,1000,194000,18148000,29322000,33315000,312000,121197000,1000,14887000,4168000,13560000,3722000,411000,1307000,103540000,288000,16656000,1103000,133519000,6080000,7837000,97852000,10280000,8189000,850000,553484000,1724000,43042000,39395000,9595000,522000,5154000,37323000,1645000,74582000,7350000,6770000,168270000,22000,26000,3824000,1482000,761000,691000,85000,320000,178000,870000,183000,6318000,1744000,1651000,1164000,239000,3000,2688000,163000,2577000,7730000,180000,0,212000,263000,2000,250000,1440000,664000,2780000,117000,3615000,0,9000,0,0
"BEL",134168000,143996000,379992000,0,30309000,1190000,213292000,1157907000,38793000,14326000,10308358000,450202000,131438000,445893000,15486000,237382000,8924438000,4905344000,239893000,57000,246951000,96501000,210810000,25791000,366873000,2774160000,51708000,338635000,23367000,83542000,58272000,7724000,6792286000,359349000,33024000,48751000,27081000,43882000,698610000,110541000,839785000,63727000,17846000,144313000,2491111000,147237000,74956000,154683000,15757000,3000,234226000,4638000,5009000,10224000,2971000,2215000,21495000,45098000,32735000,4419000,2086000,3803000,40389000,208457000,32889000,42973000,15521000,17539000,51181000,334447000,23000,6560000,6147000,793000,6372000,591513000,146482000,335014000,7150000,19334000,69000,2946000,100973000,68073000,96104000,39264000,106108000,17000,88910000,24842000,9672000,8457000,3760000,4682000,298165000,598000,26914000,1793000,74875000,2196000,27139000,48729000,28499000,21266000,5214000,535933000,1085000,64746000,92337000,27110000,7710000,8677000,105395000,6480000,231264000,30025000,2060000,20982000,181000,993000,193162000,14916000,5748000,8476000,11605000,14416000,1635000,3598000,20372000,3935000,5715000,1912000,8887000,5752000,1520000,28858000,2802000,8303000,6748000,5944000,0,3206000,5973000,80000,86000,7923000,9366000,112000,24186000,6161000,47000,879000,10000,40000
"BGD",2559000,16673000,388000,18326000,0,0,3951000,2294000,3279000,4969000,20967000,1356000,6379000,8215000,1933000,276000,19683000,43729000,436000,0,4251000,3826000,557000,54000,0,41408000,479000,56219000,170000,1520000,4690000,152000,15551000,238000,4326000,62547000,12000,58000,1957000,10026000,2455000,6630000,33000,7223000,86552000,8226000,137000,0,2000,3291000,2153000,0,74000,0,0,1109000,135000,17108000,2000,0,7000,12000,196000,25978000,686000,0,0,105000,125000,2090000,25000,72000,0,0,0,17038000,16896000,24435000,6000,3700000,0,1000,5355000,2094000,878000,62000,0,0,544000,15949000,7137000,28255000,0,0,3387000,385000,139000,377000,5307000,1323000,357000,3663000,18636000,0,7000,36629000,0,8403000,784000,2344000,663000,1066000,0,261000,24000,4074000,0,91000,0,0,466000,0,0,0,0,93000,1000,0,11000,2208000,858000,0,0,0,0,571000,23000,1852000,5000,0,0,387000,0,14000,0,537000,0,0,0,0,0,0,0,0
"BMU",63000,0,6000,68000,0,0,654000,3526000,4000,0,3940000,13000,0,10000,0,0,25000,8590000,4000,0,34000,0,418000,122000,295000,1353000,0,235000,27000,0,0,0,2252000,0,190000,236000,16000,0,0,0,5691000,0,17000,3000,12074000,4000,0,2500000,0,0,17000,0,5000,22000,0,0,0,0,0,0,0,0,0,0,0,10109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAN",38134000,533716000,88746000,407177000,90654000,28199000,0,142455000,4378000,21093000,1296812000,60999000,107719000,188192000,7383000,118511000,801680000,2452576000,45323000,2976000,183868000,138120000,135298000,5385000,112388000,739999000,28072000,4434081000,19880000,98872000,147415000,1986000,473775000,209719000,135474000,75429000,58202000,81974000,271363000,102935000,182201000,120584000,135224000,74246000,46637211000,91184000,55496000,515907000,4966000,347000,59830000,14283000,32466000,39797000,12564000,183000,0,7027000,4525000,23905000,7451000,27439000,55303000,999273000,9660000,190092000,263278000,8879000,17463000,404686000,2446000,8306000,26982000,10325000,12505000,236557000,148508000,156717000,56043000,20370000,7000,26648000,396203000,78685000,30092000,3912000,97147000,0,366843000,1927000,3844000,23296000,558000,1299000,51194000,0,10673000,18447000,291296000,59000,15075000,3708000,11614000,9561000,3078000,1678866000,86000,3249000,60084000,18209000,393000,8955000,555364000,1781000,193537000,798000,106000,740000,1899000,0,18145000,0,0,2097000,311000,718000,277000,19184000,1719000,0,13566000,765000,13451000,3661000,0,1383000,266000,5253000,0,0,149000,125000,1537000,121000,0,1966000,0,0,0,285000,917000,0,0,16638000
"CHE",103443000,217082000,931259000,1100897000,23256000,4850000,289444000,0,14338000,72695000,4826665000,296435000,174877000,381793000,15171000,219009000,2251448000,2764735000,114591000,393000,438270000,108446000,102944000,8709000,436837000,1931850000,40700000,679636000,12597000,31198000,70500000,1752000,667381000,234976000,43469000,64102000,42968000,53465000,682527000,195468000,518362000,78054000,6032000,328951000,2328316000,304721000,132740000,277623000,2768000,30000,203770000,5649000,4350000,43558000,7474000,3096000,3632000,82097000,31214000,19496000,5314000,3085000,39603000,130105000,18214000,82991000,17605000,13439000,109524000,75486000,1451000,5570000,14558000,814000,8291000,170925000,193270000,336231000,4437000,19074000,8000,1889000,66436000,126394000,175708000,113271000,86782000,141000,202612000,9416000,4148000,8055000,2662000,2916000,255585000,760000,15103000,823000,88838000,14936000,37224000,38762000,24171000,6142000,2963000,216039000,116000,56824000,24922000,10597000,8217000,13953000,119633000,998000,265223000,19961000,4354000,16123000,547000,493000,15442000,2306000,697000,4627000,772000,3668000,595000,2855000,1344000,1707000,6250000,5960000,2760000,1187000,235000,1381000,736000,12006000,18034000,759000,0,128000,244000,69000,124000,1322000,1084000,3985000,2423000,3029000,85000,36000,15000,0
"CIV",1589000,5925000,20742000,59611000,7000,141000,9970000,20186000,0,7560000,223880000,14485000,4409000,95034000,3000,2073000,548111000,98134000,28789000,1000,2391000,824000,15010000,36000,7121000,296026000,128000,49029000,14000,22221000,7298000,1763000,160280000,694000,20000,61000,95000,2510000,2044000,16353000,3534000,1778000,73000,147000,325142000,13228000,154000,828000,367000,1547000,51308000,0,3000,172000,0,1000,15000,3893000,2000,0,0,0,0,5100000,6371000,37000,0,1651000,4000,24096000,0,12779000,0,45000,175000,178000,0,1464000,126000,22000,0,0,3969000,0,692000,10037000,18000,0,296000,1094000,1000,0,33000,0,39377000,0,8000,0,236000,250000,1000,2043000,979000,29044000,1000,52652000,0,262000,5845000,69000,0,0,65000,514000,12898000,808000,7000,9290000,0,380000,1262000,5712000,0,5357000,56000,4970000,58000,4000,2452000,31553000,8676000,0,6000,0,78000,23538000,80000,20000,46000,104924000,0,36000,474000,0,51000,30000,81401000,0,12000,426000,0,146000,0,0
"CSK",6338000,29113000,428169000,54939000,12279000,16000,49030000,91784000,7524000,0,1.347e+09,60758000,134271000,29456000,6193000,70044000,172338000,142493000,38212000,0,11888000,7961000,10635000,3570000,0,248414000,12008000,45059000,1231000,10025000,6380000,110000,125717000,35923000,5188000,11903000,3492000,4039000,63923000,11369000,68100000,6714000,1560000,42039000,65296000,629790000,14891000,19047000,359000,2663000,9620000,1104000,58000,6361000,1469000,13454000,0,139953000,0,0,325000,0,0,5045000,1172000,9265000,46941000,11737000,522662000,22810000,405000,0,0,0,0,36024000,17308000,33263000,0,223000,0,0,0,902000,327000,0,344000,0,1524000,1762000,3756000,1106000,0,0,1653000,0,0,0,242667000,4695000,0,183950000,1295000,0,0,2786259000,1000,16280000,798000,0,0,33000,7778000,41000,0,1619000,7489000,0,0,0,0,0,0,0,0,129000,42000,0,0,0,1047000,0,473000,0,0,0,13601000,401000,0,0,0,0,0,1000,294000,0,0,10869000,0,0,0,0,0,0
