"","AUT","BEL","BRA","CHN","COL","CRI","CYP","CZE","DEU","DNK","ESP","FIN","FRA","GBR","GLP","GRC","GTM","HKG","HND","IRL","ISR","ITA","MEX","MYS","NLD","NOR","NZL","PER","PHL","PRT","THA","USA","ZAF","AUS","BHR","CAN","CHE","CHL","DZA","EGY","GAB","GRL","HRV","HUN","IDN","IND","ISL","JAM","JOR","JPN","KOR","KWT","LKA","LTU","LVA","MAC","MLT","POL","QAT","SAU","SGP","SLV","SVK","SVN","SWE","TUN","TUR","ARG","ECU","FJI","KEN","ZWE","BOL","MAR","MKD","ROU","URY","VEN","MUS","OMN","AGO","ARE","ARM","BEN","BFA","BGD","BGR","BHS","BMU","BRB","CAF","CIV","CMR","COD","COG","CUB","DOM","EST","GHA","GIB","GIN","GNQ","GUF","GUY","HTI","IRN","KNA","LBN","LBR","LBY","MNG","MOZ","MRT","NER","NGA","NIC","NPL","PAK","PAN","PNG","PRY","RUS","SCG","SDN","SEN","SHN","SUR","SYR","TCD","TGO","TKM","TTO","TZA","UGA","UKR","VNM","ZMB","AFG","ALB","ATF","AZE","BDI","BIH","BLR","BLZ","DJI","ETH","FLK","FSM","GEO","GMB","GNB","IRQ","KAZ","KGZ","KHM","KIR","LAO","MDA","MDG","MHL","MLI","MMR","MNP","MWI","NCL","PLW","PRK","RWA","SLE","SOM","SYC","TJK","TKL","UZB","WSM","ABW","SPM","ERI","TLS"
"AUT",0,697659734,95498692,349296704,26852603,5240894,16639547,1109620605,16011467075,316958543,882981212,238201465,1878504966,1404392638,1929641,216066028,3648261,197092141,1524914,91402188,118961795,3441680576,110189127,132863133,1045727952,250712402,28511180,11544939,29096577,191548193,101838365,1661488388,158932413,153096933,9889931,362190567,2562964277,31191870,260231174,87453463,470975,1259840,319938723,1607434194,181332053,58236600,9519524,9940049,28131095,723242879,267387436,34016319,4979540,16134786,9343946,509800,11042266,492693661,6899455,145805642,207149071,3160326,355639605,694789140,584733113,37739302,193826926,39603670,5584362,239445,9178943,10737644,2241875,21797614,41925817,175657580,7375584,19653935,2682678,11651759,3165973,59365335,201770,4375612,247900,5878697,117127275,793509,243790,143578,14135,2727028,2010798,1433388,330181,2344891,2580933,8544772,3989477,1161544,10376652,0,526070,78912,41442,240548098,6579,24999128,578144,53652090,186653,1508052,1185761,731335,39548115,1847519,1948657,30613676,3140024,142309,3858219,657311327,25208412,6793689,5726065,130024,405977,43538093,96540,1269903,13273149,2322635,6493697,2329307,60422270,13916049,2517465,44042,5739648,0,3531659,1120644,10648115,21150780,603842,694677,4675793,72741,6544,1528990,327835,812516,0,37848595,357392,2780452,50880,400855,680889,476186,0,2199461,2519405,5992,15017156,635998,739,3874535,206096,192693,377711,435056,332585,428614,6636664,89990,541738,2327,0,0
"BEL",1491305237,0,496329110,978498046,66254634,14507142,58802184,288119931,21345133019,1081515540,2799700370,604988295,19127470165,9841530922,27266340,743616360,20339254,1351588236,20457391,317908068,2796363575,7232261565,327380208,337050522,13561005799,630898553,84190377,55565425,223149435,864513246,441780169,6232949200,517464797,382581456,31416515,431665049,2380516712,107395266,211799593,228686717,22858432,1428598,56891555,294752905,306068632,1105532540,27556001,9097521,94185863,1667439649,484173023,75687098,119654165,22469245,16137992,2041163,28187272,509437874,26799164,553004788,552762751,16224943,81484019,83173317,1623962884,263561147,519808052,532321672,35066286,3463404,76745238,24614465,8343381,170488367,27545153,79286725,15554538,103337349,29303537,27087672,35448780,255693131,4705952,14600883,8037384,31583096,58960462,1729634,859553,5111210,4030415,56188587,44926224,139027701,18051479,32759001,14653016,27786769,29699567,1241059,48669231,2207847,20168685,2714863,5808916,252647654,7432,166162364,3202232,91750673,795562,5864777,39302873,10278576,109531505,5633671,10053377,118562875,23823283,4156688,8274805,752553500,14480402,31893680,43392835,435297,6728894,140291346,4818905,8760547,4307798,6226092,40826636,13260195,82568219,31285612,7020165,1462944,6623103,0,4289166,27810607,5334574,40839452,194577,5961989,43151295,0,22148,4236175,10461869,3095046,6598664,18287634,2131399,615303,2457,1332642,5319538,12619987,14416,29731540,5969551,26825,4347277,11345066,0,7982545,15121547,8166912,12515548,1132425,1839314,0,8978565,189967,1401662,207433,5677379,0
"BRA",189424184,768128338,0,965792457,393092205,115083694,30545060,50086775,2854766126,226590515,838485401,166415926,1708040497,1338021928,22788972,106570111,52725229,411629464,23351672,125942057,74493653,1669895542,1124249393,260842790,1810634736,101701037,40262628,341163123,287679460,378623322,413026380,8474437222,200801119,259789883,83376672,646527650,302674111,910993274,116228815,151399398,3443442,91433,26569915,126748858,285096867,495142484,3197979,33466232,48001662,2919327300,931191846,43761447,40186669,487753,590899,5526846,9374650,143655550,24844981,258496197,320316445,40352973,15629463,40336640,285363517,57854748,187269695,3900847106,221704169,1017039,20171357,17845133,171560668,151388932,0,72133797,697261146,232272734,3918596,5971392,154742767,115529062,0,1225727,1116304,122008241,19552327,15030958,1920073,5432279,237783,33382503,9849992,5712477,553368,25125385,64617131,31998418,30672147,2962193,4375407,1564,8941403,7629950,412225,184020247,72943,72514333,171037672,53693700,0,7648928,2105482,352777,149277519,4751192,3477940,39740630,86050424,1115227,548300358,173338959,11702112,443588,9962417,44879,10455995,61773068,14783,537966,364660,53613205,7169457,1052211,19134784,1823410,589254,197356,268944,0,0,236172,0,8653,1116008,3139394,3865509,0,0,0,2753762,231150,741,63451,0,91778,0,365080,31658,1976903,0,805555,155273,0,1186700,541426,0,38598224,599599,1540411,19532603,308063,0,0,0,0,4388345,0,0,0
"CHN",764143737,1090684721,184229417,0,82391482,19109473,52222833,94050459,8470997749,594450351,1623896818,319177553,3694494319,2245013707,12116171,253912982,28065692,55397031699,17267463,276715525,111880229,2819018682,450859156,1241689857,1607301071,464042038,349498773,108804218,313381845,155268473,1295254397,37254547889,327798745,2199316363,49882755,2546372060,757663459,254199016,153327377,203344680,2321813,1768988,26843571,99168503,1265842044,716114500,17461111,17705625,83822642,24834595715,5002615930,175418910,171658610,1110457,2159495,361894399,17318411,296030572,22219567,453389778,2614962088,19885741,33746322,34637854,984510441,58814413,242282899,201469260,11220662,24869209,36286521,22623530,9400788,130240377,5114118,63691206,27136722,45228147,62492940,27621189,12482005,864720614,3555881,30440338,983517,370436370,36703331,3635645,1314683,1597551,199182,20111039,5424568,23540705,7920329,147239606,31506014,4203066,36543100,7226208,26420376,584829,4064285,5859287,739545,265738366,96351,105517646,31773349,29511071,42709869,6518220,31571964,18067251,90231961,2364126,40222028,605689642,569025073,16173629,68125101,1580769594,4022434,38638249,21736255,0,3411678,169079988,1414804,97345913,3668785,10674045,65597862,8724875,94562494,341504472,9698461,27368686,10421798,0,4829237,2643417,375104,9457341,2468287,10096683,17495814,0,1175401,295451,69468129,4002964,1552785,107001530,29889900,35255133,569264,35936096,1888727,9025060,724775,10808340,369087926,0,548323,1065793,0,424459357,2406309,8500115,1778532,386030,674743,0,51456037,850114,1341345,0,868037,0
"COL",43739450,77494257,60258080,640163,0,78576516,160299,19966344,787536345,40035043,188850548,107407297,210839574,259817988,2311945,12138998,21974472,20619389,13648289,9726100,36227342,151916489,108683948,1588525,179043262,50721807,2633358,231018997,2195282,42327363,5639628,3082916467,3647195,8157698,25786,171098834,52236761,106730598,88542,217873,90128,12252,4866048,10915040,402534,45696199,1733399,5294075,392385,352179124,30888531,2601269,12695653,228164,302800,12740,1103264,35096409,97572,22053242,8357405,13600109,7633098,4843810,107666173,438591,2393665,54129340,271652472,91754,0,106049,20450072,9372020,371740,1819492,2708239,363434578,18473,0,0,0,0,0,0,0,0,0,0,1095097,0,0,0,0,17526,0,0,0,0,0,0,0,57062,0,0,0,8288,0,0,0,0,0,0,0,0,4119985,0,0,27422346,0,1923015,0,0,0,11487,0,1445576,0,0,0,0,1184749,0,0,0,0,0,0,0,0,0,0,0,0,430838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRI",42616509,36655192,2816569,647285,6072064,0,57209,17568903,343790028,7514632,71013443,42387041,61955882,106885657,91804,3370128,75845621,5462045,19718161,5662111,2251759,96992916,24773320,142453,115542877,13689451,426967,4246166,361800,15962019,3962073,1607902727,1008183,3035835,43910,100623655,27443654,11377644,987,11138,0,40633,1260600,5717301,0,188056,1206089,7912609,100511,22557414,2347343,350021,128394,171841,381052,0,704596,3040615,227033,92728,0,71307495,6552136,517629,25125722,344664,545797,8168400,2508230,0,0,12740,297598,10074515,24264,1097615,301612,2872780,6592,211443,0,0,0,0,0,0,0,0,0,725614,0,0,0,0,0,0,0,0,0,0,0,0,3759,0,0,0,36229,0,0,0,0,0,0,0,0,52362698,0,0,39452031,0,50238,0,0,0,0,0,0,0,0,0,0,1015576,0,0,0,0,0,0,0,0,0,0,0,0,350825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",5935817,22487540,1849351,843322,15421,0,0,13133310,106602927,3281691,6619777,2908695,17474096,165053586,11103,46385512,0,8094861,0,10815014,28725020,13527860,410905,1589689,25185761,5455609,11901,22884,122963,899585,4891939,17534770,1885673,1062796,2753524,626866,8991692,11534,946550,10550695,307978,0,903020,3161523,15910,1788825,187664,243921,6033179,4549373,1473544,7474266,5223255,2244089,536120,214058,2951821,1505506,1801058,9931992,8440317,2091751,1945093,4987392,4189639,1698726,9228104,0,0,0,252756,1506568,22478,1914909,2166062,8953478,61971,4247923,97645,7853787,0,0,0,0,0,0,0,0,0,4443,0,0,0,0,0,0,0,0,0,0,0,0,4151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142387,0,0,0,0,0,0,0,0,0,0,31606,0,0,0,0,0,0,0,0,0,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180672,0,0,0,0,0,87307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZE",921980959,225263248,24429780,115430611,10884552,7689103,11207581,0,4701356837,97043540,126785163,80642870,315709744,383335155,2245407,71165705,2078393,75443640,1388595,28825625,49296684,638429861,74303985,14323036,270574664,46255375,5202511,11391155,13112268,20109557,153318615,306149121,21424199,37148461,1183825,39710569,183472288,32055094,14532443,125577845,136057,96272,86269110,322118281,38301274,44949418,4396819,1472702,7161417,89437545,45925781,8494120,2792232,36345877,11167415,5419904,8173890,467066134,1420797,20917695,39576625,1817079,1806556427,165214540,119589923,17808067,91237245,7128103,8281438,438210,2304309,4929286,1948635,24784608,29827598,49074313,2146631,2325546,204202,403078,914465,20485083,3587784,1033543,64458,1640656,61525900,94850,232342,656023,43127,1098324,96103,1518983,62408,1881766,3433300,8362278,1669267,167356,319773,0,36242,144831,523784,45124157,0,35370174,13888,1345680,6373411,13609,270453,290918,9229352,226108,1757581,11967600,2134260,48730,1913584,548103633,9244644,1747133,620014,835,731560,67152364,0,188410,9458035,268397,5020555,317618,133548012,7973919,83499,914506,2711954,0,1498804,86700,7136209,39878387,81030,508958,0,835,0,945261,110653,0,348279,41124854,73130,6906705,0,142292,2785361,19872,9606,305154,611673,4142,46258,4351,0,3904255,143338,2436768,38668,765,1600213,0,19996223,0,1775,2715,2360901,10546
"DEU",20625490780,23222536647,3433271867,6458423157,578410798,91224263,269943746,3465690003,0,6659421172,12241982362,3195713810,37250754385,29347200047,51520252,3186164188,98359880,3378045028,44752059,1750660202,2241088682,29334918602,2793854046,2250823951,26543855096,3449323086,491960127,238740009,727247601,3404600322,2865647181,29706121558,3722266253,2675437271,141453110,2913660657,20583476196,456587426,499857345,883434806,36460252,7925612,893935110,3098500984,2302082236,2005045801,149223403,30743017,244105149,10057657745,4647483841,550009054,154271146,345994007,153498097,45778648,388193766,5438240763,136215789,1802553635,3115839661,66605065,815717635,1584197995,8560000909,732504606,3392152797,1248686946,209086334,5842962,128723298,120009033,53560666,478209378,233463939,1147889953,85940570,405445917,85382822,188250380,21266000,1345618000,13370000,22523000,8257000,153803000,647352000,13636000,16790000,12512000,4262000,59444000,47758000,58242000,22228000,38181000,66259000,158607000,96205000,10835000,26272000,757000,182494992,4562000,11633000,1305227000,199000,444454000,198358000,545347000,16849000,19089000,31991000,8231000,449131000,10904000,14157000,536566000,128924000,15842000,77458319,6183950024,47842000,42249000,21695000,10000,6492000,497078000,1652000,15541000,85908000,25354000,60635000,21451000,917367000,146483000,19539000,18352000,34144000,0,36345000,11079000,40121000,387460000,1015000,6581000,103226000,86000,10000,15652000,12597000,2113000,10527000,450312000,17653000,1825000,46000,7296000,53839000,19891000,39000,13459000,26207000,133000,15522000,19776000,0,53780000,5221000,10099000,1653000,3874000,13883000,0,316343000,1247000,5381000,872000,4640000,0
"DNK",403059363,718150253,97637160,261156384,35489034,9135179,28428331,132987333,6254414004,0,675732251,663408425,1846688398,2914390199,5123480,290931354,5628506,257437110,2006845,169220341,127682976,1504804988,158307477,89330784,1348732301,1837669355,57051915,20205557,35553556,216148653,181832220,2007634012,99807241,213884845,19886157,222715655,719809906,52055956,21900885,104977670,770794,270676746,35066597,96109347,99846598,171643887,120388873,2141095,27368291,1484768591,334005450,55774309,21956786,63348034,28193372,35293549,16576379,468033400,14358610,106985088,172361163,2923344,38093897,31117255,3102564672,27064207,126984609,45121788,6067746,217707,23475202,14701610,8752481,26569383,6101894,42967016,6100977,30686373,6896306,23796766,3707564,116299514,3119607,1668871,8097008,22081535,26871926,147873338,18080116,2742227,58157,2460281,1164127,4244643,438353,4758787,38225022,41025055,13458727,3587081,1052233,29932,1623202,339603,505887,80026616,549202,42124036,284399597,17467084,582471,5924730,1554761,512309,12301015,6967302,5133615,38301801,12056995,5278556,3359699,409216566,4982992,10509968,2158711,0,421917,15286871,148815,2648695,407522,2277359,14208156,4971764,45513817,46667680,3796485,782756,3907258,0,4327921,1686788,2608493,5632266,1763267,1210409,12940244,97596,2396,4547296,3484048,2049184,1380628,3973657,1765090,34539,280367,571266,1941168,1004994,55068,1828543,3758905,59528,2764223,3938395,0,1641893,2743910,3468801,1430147,435518,1976054,0,2652380,2674,2454203,541171,0,0
