"","ARE","ARG","AUS","AUT","BHS","BOL","BRA","BRB","CAN","CHE","CHL","CHN","COL","CRI","CUB","CYP","CZE","DEU","DNK","DOM","ECU","ESP","EST","ETH","FIN","FJI","FRA","GBR","GHA","GRC","GTM","GUY","HKG","HND","HTI","HUN","IDN","IND","IRL","IRN","ISR","ITA","JAM","JPN","KHM","KOR","LBN","LKA","LTU","MEX","MLT","MYS","NIC","NLD","NOR","NZL","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","SAU","SDN","SGP","SLV","SUR","SVK","SVN","SWE","THA","TTO","TUR","TZA","UKR","URY","USA","VEN","VNM","ZAF","AZE","BFA","BGD","BGR","BHR","BIH","BLR","BLZ","CMR","DZA","GAB","GEO","HRV","ISL","KAZ","KEN","KGZ","LVA","MAR","MDA","MDG","MKD","MLI","MOZ","MUS","NCL","NER","OMN","QAT","SEN","SRB","SYR","TLS","TUN","UGA","ZWE","ALB","ARM","CIV","MWI","RWA","TGO","ZMB","AGO","ASM","ATA","COG","EGY","GIN","IRQ","JOR","KIR","KNA","KWT","LBY","MAC","MRT","PRK","SLE","SYC","TKM","YUG","ABW","AFG","BDI","BEN","BMU","CAF","COD","DJI","ERI","GMB","GNQ","GRL","GUM","LAO","LBR","MMR","MNG","NGA","NPL","PNG","PSE","SOM","TCD","TJK","UZB","WSM","GIB","GNB","MNP","FLK","FSM","MHL","PLW","SHN","ATF","SGS","SMR","TKL","VAT","HMD","SPM"
"ARE",0,17987457.73,279735405.28,31003873.06,841022,178529.36,74340452.03,39857.53,60233381.44,559702030.65,2778477.7,1968342036.51,2243810.02,728758.53,2164846.34,59073973.91,22596981.5,406753034.67,820275114.65,0,3055976.23,140828597.77,5151766.16,250984713.37,50916671.32,846442.37,868020025.64,1711325676.14,50012457.58,46916163.93,924569.42,517327.82,1307375617.41,3118156.84,67606,15375720.82,110659570,5102551925.25001,40594114.51,6899645588.69001,447794.52,347378905.14,842496.23,25091042803.79,1859055.66,9141509728.51,179302810.88,229626347.82,5766129.28,10295291.78,11151232.54,713256794.05,88185.7,1143356470.87,10141615.05,329993687.59,2810727668.11,1820331,1857712.96,36552069,62864672.09,30992492.53,189649,8604686.99,301954399.01,1696979506.78,343558822,2381312785.99,294307.91,303747,2517710.05,2025270.55,356841008.83,5188728954.03,602378.12,230502716.75,230839872.3,104308192,1463005.8,1409690411.17,590563,107863652.83,432954311.48,103163622.09,3203943.88,107132690.87,12206744.89,623095747.08,2349971.6,2278021.69,17216.91,20924242.48,129447939.39,18291778.91,80221193.7,2942549.52,569879.04,104141212.52,807677375.990001,13636174.34,7497262.3,120981205.18,730274.56,23033144.96,3246554.52,20927375.06,40432478.1,121993200.54,479786.64,7410029.7,2304516104.92,750329387.070001,37047765.3,1035917.35,255614267.76,17787,51901980.95,135184367.48,28418711.65,1487960.13,88211477.5100001,10494558.39,25998448.7,28732909.04,15219175.93,89145273.7600001,93460356,0,0,57300309,383753791,22355593.19,2155700482,251428599,0,0,903614817,469614173,89960.56,28374206,0,12362488,10211775,136884250,634617,64502.67,464862028,4801437,38037954,37125,276997,125184,174728205,44236144,16393822,5541074,54026,19855,106153,15080559,4039855,863094.26,183992427,6289589,1213949,123508,205558125,9009559,29715065,42195182,28318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",260285430.55,0,156562660.34,47497964.24,20267611.08,384105672.159999,6372415377.33,3614453.58,392011323.49,125239144.56,4528852956.07,3192332437.65,370487727.95,68659022.35,127279952.24,16485209.6,56703505.14,860949648.15,303169805.25,122772911,323829410.32,1597673659.53,6083333.83,363186.37,62201930.17,151223.67,413558676.9,421080981.03,34574429.43,75020664.92,131240102.72,1646912.88,155106191.08,51529041.09,11496537,9901058.78,370330176,752437005.68,75621691.89,2914383.43,209874786.58,1020220571.24,13408152.46,314832855.04,2523263.08,358011260,29520145.8,33792814.15,16523432.04,1202407531.62,1716035.5,618164494.34,49065320.34,1327090388.12,53195769.02,19714115.39,80751477.8,68501849.4,671950203.479999,284045642,321072051.25,125762751.07,533191264.99,30660052.55,682439686.65,281035341.69,13381551,24889594.02,64492496.17,3697909,5242389.63,22458522.07,30635370.67,345756156.55,37972774.57,223101489.75,24791719.62,47128473,852060478.769998,4759157889.09,509671272,204296672.44,507353009.22,1720225.05,1002717.85,166788111.01,90616924.9,13575233.16,23287461.3,18114016.47,1500285.26,7779521.41,485311524.24,9070618.54,1704785.75,41264090.44,1930635.07,18186906.44,26770964.83,554901.79,24140787.77,201488748.38,1127662.26,13552876.36,6280571.28,2018508.91,35901126.19,28538008.44,1252783.41,9188575.78,72456170.78,36141042.09,17397643.12,24482387.23,168380560.85,0,116826897.44,9569058.05,1753890.7,3092731.78,2227784.22,20157645.15,3552729.29,29772693.81,4100333.65,1525773.9,139245862,0,0,42972132,558711443,1900900.43,18768631,68072114,0,242448,30084385,60219598,701459.76,4114739,0,0,271960,6384,2831992,273493.87,494033,51782,2380494,0,70877,12741979,99575,2046887,1195439,1587974,0,0,0,3096229,40036,1276593.69,108370542,117125,0,582786,0,391443,543193,6390,0,14113,292078,17564,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",968160039.46,128256410.33,0,85774624.53,5553875.41,1267334.56,634944814.29,3677820.22,1401226282.68,157255939.38,179017910.73,13380493992.49,26527684.31,6475595.98,8934367.67,10040244.82,82428407.37,1360355830.37,155474394.46,3990865,6571687.44,890779544.59,5059903.37,5567369.07,491425544.65,399924455.12,1196086507.13,3980326026.52,114717794.69,40606853.14,18073018.3,1366007.2,1921018077.1,7691709.3,254977,21618084.8,2080638325,6985608597.02,144646253.69,187565921.58,159659868.14,1362918075.67,19258208.63,22278297488.07,27848391.75,9054436141.4,26699464.12,116696567.39,12061452.07,755600762.649999,5566092.56,2137028954.58,661970.15,1088636214.96,88911689.3699999,5555189078.58,470274419.9,9283551.25,62154496.1,580816339,106174610.69,35066629.25,2000371.63,53049423.81,283304932.88,1606805289.42,10677948,2936494131.86,10697163.81,2755282,20320378.96,19687636.96,356846597.64,3971217267.62,11412557.54,380646495.24,45367103.89,43264167,8466904.13,7180831006.37999,14747793,692649862.06,1520806033.42,5688467.07,1872488.41,207877352.47,70850583.42,416942672.85,2312165.47,3571549.14,716466.8,9590942.74,104443817.7,921885.79,6105016.34,8786230.26,4977279.9,32067912.03,29877063.33,2415031.57,6102237.14,42018245.05,622669.82,5687412.05,4416019.65,13422186.99,76343377.13,91771431.8300001,187156029.01,2226946.22,195424018.24,168438926.8,8194249.42,3687943.59,12098256.18,15143768.44,6894618.07,15168559.53,11426562.5,1382459.13,9561518.87,2366185.26,1290491.14,423254.31,891200.5,26382875.75,1421404,11179673,13155445,27755,99958717,9405653.72,3743987,67650228,26529984.59,306680,313075606,8155172,44173310.66,8695941,0,2219595,2436817,240032,550505,778907,942734,381363,258480,1057435,69035,808529,1466706,260976,4709567,26237,0,10564883,16045982,2613325,29614047,16771181.66,18789952,5341610,883954952,0,10935,1160688,354215,739244,20640836,159448,0,2243414,512311,2675440,1841139,1400042,840180,0,0,0,0,0,0,0
"AUT",311775898.02,52602795.01,767053490.7,0,2002617.72,4879270.42,428292764.19,2093149.38,1074142522.96,5804064029.85,121864395.73,1669691068.02,72488083.37,13507737.74,7674069,45034337.44,3203265384.2,34377564483.95,926756808.3,7186210,11771700.84,2679258181.76,186602375.17,10743829.97,582359241.74,28828,4857991876.03,4293951822.72,9554837.48,597077309.21,14032290.14,201890.03,582527928.44,7993664.58,1125045,4096057266.98001,135804197,414658574.96,299335786.5,762885918.84,207443687.02,9028626003.04001,9116789.64,1349628549.6,995498.32,691526190.03,46819228.52,36046417.8,170847303.32,418519238.99,38093770.34,235969618.07,2758903.11,1929000873.03,442264275.68,125770802.63,133639823.09,38599035.89,30590340.74,57419174,1943643437.01,491485773.01,7327301.5,1452392097.34,1807534669.8,516020333.36,28452879,421025422.9,7373011.85,1497411,1745523808.05,1671799311.1,1164109571.89,172067614.17,13505184.21,970511461.22,5813392.5,534589628,13310273.8,6603600343.97999,62527327,65324196.55,526873834.46,40336077.53,1298383.93,21806914.25,397259003.649999,128071877.98,319311084.65,98073287.9,4541730.61,3484005.74,209899802.13,20387519.49,21015246.59,1157670361.66,40917690.7,170653061.41,11848638.81,3960840.84,144879752.12,73269626.32,29799992.86,923781.94,73854518.5599999,7934661.91,1787101.26,7213384.09,6288040.55,274127.37,52354018.65,76151378.46,10515911.96,247692758.6,82579369.71,86875,60970534.56,2477119.23,2032489.99,51190679.39,9231741.92,7081870.7,508945.09,266308,2475433.5,2316190.91,3879721,43257,0,8611420,147332467,8337674.55,37888819,36557395,3372,221581,77707009,74701485,13217526.81,2568028,1895394,327534,710361,40108077,479677849,1250416.19,13930081,648280,3158584,171003,66923,1141018,1015923,170209,439935,1419762,24482.62,14575,33225,2176630,6150806,2282015.42,119349884,1561749,89412,1250442,599076,6772059,645019,25369369,5780,1003665,117983,12592,5600,0,26054,0,13713,4384,0,6210907,36512,951960,0,0
"BHS",281503.24,3298593.88,2849663.2,125278.69,0,35593.46,5661644.19,1199309.07,48596247.61,43771204.53,132754.58,171418.14,32975.93,109620.95,42598,5733,937820.04,41563235.21,57268.7,0,1014855.73,757262312.97,8043,0,39998.6,20974,60889291.43,52348010.45,324222.47,30889946.97,54722598.6,31642,57780,915609.99,6878,2415660.37,0,44083523.78,476419,0,64000,7068151.42,1095610.8,754555.02,0,27724579.43,61000,0,5461595.83,22682751.56,400453,226206.77,0,4767486.43,2261321.96,192050.99,239820.04,11361,29191,0,307082035.78,7662391.93,2293568.57,239902.31,708861.96,15886,0,22829664.49,0,0,179455,162300,150021.96,291553.8,11270070.48,3737927.75,86704.2,0,26104.41,531469137.12,0,265777.77,4099207.64,0,0,32483.17,181560,120556,178417.57,41294.55,1128733.54,0,0,0,0,323341.25,1557712.63,52989,19523,2301,0,140953,5626,0,9728,0,130128.19,20205.78,17891,0,0,0,15009,64464.32,0,0,0,0,0,0,2140502.14,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3272455.27,0,0,0,8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL",322640.97,273494080.45,3496988.96,4031097.31,17380,0,1013305844.83,134707.07,29394305.11,107382682.33,41735323.11,20555728.23,179154383.55,5259614.15,95300.3,130340,308472.61,25505563.03,1054297.47,2614690,3483688.27,16907796.34,75856.82,65762,1225161.05,0,12853920.08,60606046.58,0,160357.97,575698.18,52160,4990805.6,580630.52,415360,0,839060,942614.2,98151.79,0,1225944.95,20053881.7,85453.94,142444500.06,0,60006856.37,21745.33,11173,127262.17,21375514.24,0,15944603,261560.73,29232693.34,610649.88,350602.03,189466.73,322469.3,123411966.84,0,237565.78,646481.59,20836187.56,82099.9,5131093.42,181847.43,0,384050,254196.21,79850,26137,215549.74,810799.25,1555403.59,142115.86,252546.97,0,0,1796935.5,413360530.68,158476700,53940,430695.23,0,0,830927.18,2523.53,6183.17,1514,16100,64274.66,0,877451,51230,0,60325.49,13885,0,2414,0,164487.77,0,0,194532.15,7712.25,0,0,0,4208.07,0,0,32330,4000,91455.4,360361.92,0,0,0,0,0,0,2632.26,25354.81,0,75158.51,0,34310,0,0,104850,604610,0,0,0,0,0,9350,0,9350,0,129540,0,0,0,0,36272,0,0,1330,0,0,0,0,0,14000,0,0,54430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRA",808123255.47,10213788159.41,505583128.61,322373052.33,1478744460.81,580247087.53,0,23491670.16,2240044756.7,617657096.510001,3725541002.88,6975540095.27001,1429779171.42,439302229.02,287770285.42,108657595.46,139869057.61,5671848765.20001,194763597.13,333542328,679592979.31,2298866884.95,70927754.59,46249777.86,457809480.71,1422958.95,2776704524.06,2765582451.22,231910484.77,301718820.96,391180198.95,19320041.21,931760970.69,168271073.7,45976045,178326633.63,498181153,1202527955.72,263826143.21,1098553959.89,250976735.63,3324589650.8,242375775.36,3573119340.38,766529.79,2021084723.7,139990841.25,32981319.39,41458711.15,4299954951.99,23543929.55,471840404.57,68678446.5,5249477965.93999,501837803.44,67965582.51,312541568.07,282593852.59,980185017.32,244151825,414102710.24,1118281526.66,911197627.13,370028080.02,2936036820.67,1340523780.59,69327870,886881573.65,292763688.33,35813120,74938450.43,133449851.13,591392579.3,945467010.200001,725767745.63,653439771.28,17214036.94,220359964,838612910.62,23450015238.69,2221727608,86888047.4,1374045777.11,21203614.26,26528726.75,165908136.31,262590974.27,159624305,41169383.29,124984101.34,4136107.92,66241677.86,436807176.01,29937154.83,97328328.61,109211299.5,9339665.22,63507274.42,80114007.54,3006267.79,10798298.35,456959803.27,26396286.11,17170682.87,29305093.64,37191511.81,33252886.12,11353270.14,6379780.04,19464525.64,61379816.25,167002499.3,141151127.56,85412177.7099999,180133182.34,102209,145408132.93,7966754.57,2393556.57,30298060.64,8931424.47,59352524.22,2726710.18,211868.95,30111313.15,8451051.32,520407784,52210,0,35691020,868135447,22948439.89,50002887,104931825,161312.82,487965,191577654,213153547,2241637.13,43659248,66167104,7858651,740897,3526674,22937185,362975972.85,1437900,316390,31807673,1203838,2110819,16842050,4131842,8939490,32463338,6845851,0,516210,143979,8686581,2053535,2168122.06,951086369,987447,1880556,0,44903348,518580,1177639,7816670,598712,1277970,1039393,97278,0,1127516,90390,0,45783,0,0,0,0,0,0,0
"BRB",269081.17,53838,427750.35,94464.89,4721742.35,0,6970080.13,0,7124817.8,445241.28,83224.05,1017041.99,13987147.54,136429.36,135727.19,19551,254125.51,30301456.81,278911,1235658,17899.16,25516181.76,1939,0,23553.57,0,5658931.4,40954361.75,0,310083.68,4990179.07,6845683.93,999206.59,2781571.62,885704,41000,0,49230.63,132122,0,57178,1009104.66,25953732.03,181047.99,0,109392.36,7480,26585,1596007.14,399154.73,0,89281.45,193719.18,1602625.1,11686,428922.93,76140.76,1650705.01,28970,1138,35700.41,152556.93,0,22536,33450,260364.58,0,551071,98387.39,3338111,222091,86032404.85,101984.66,67677.06,37198064.62,617216.96,15216.03,0,0,44053252.47,184308,0,100115.66,2259,0,0,0,0,10660.04,4000,1681579.88,0,6428,6694,0,11272,141716,0,0,0,0,7486,5928,2325,0,0,0,30626,0,8442.53,0,0,0,2237,0,0,18965,0,0,9012.43,0,0,0,0,7307,0,18000,0,0,0,0,0,0,0,0,7467633,0,0,0,0,0,45376,36057,0,1575,892266.05,0,0,0,806075,0,0,0,0,7525,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68926,0,0,0,0,0,0,0
"CAN",488269026.09,118736978.33,1414372457.05,439621601.96,52582847.88,18050199.49,1034644527.68,58181661.51,0,919604829.65,426155831.5,6479881521.92,391639757.78,83927214.2599999,401264112.11,9328443.34,189046761.25,2903208514.77,280161538.58,116924714,123268406.43,1186208454.71,27183912.52,39519175.39,329393027.09,8468924.89,2217671971.78,7358543213.96,99051327.5999999,135396636.59,202563584.48,16177714.94,1223731141.2,45103432.86,26746780,123137769.74,568769822,957788693.140001,358079113.44,283684096.78,388078736.64,1749121322.94,142286164.6,7926201072.48,2709601.32,2465981956.91,45039249.04,102141566.31,22130634.1,4073844710.24,9875759.33999999,414731229.15,23454572.73,1740139214.05,1448818772.38,330004769.92,310365581.17,47920863.24,223147115.24,297265267,240627079.09,133606111.07,15391310.78,175322733.47,517856707.96,418422567.63,91944244,625813781.53,60458956.32,8622317,22243152.42,57969998.55,402371268.52,490482029.86,143980679.68,439369137.83,42272560.95,66769959,22504626.59,283137226922.8,562646630,191639992.42,410089566.46,23026422.22,14090190.34,104615467.83,59594593.5899999,29104209.61,5991784.81,18206154.63,8105332.09,18865999.6,210286879.57,8790354.01,10665349.9,27202535.51,94255215.64,118260833.35,39776999.1,11171321.23,25768851.19,189683600.04,1763050.88,4954168.38,22905845.09,9863436.24,21513656.58,2143505.1,8052203.41,4645093.39,25406429.84,81234716.74,25505650.05,18768818.79,64685851.32,70290,38530678.9,25734347.89,4931166.09,7558163.85,6164724.19,13291122.07,4462301.3,2105146.81,9808577.86,19683055.53,60348738,1032849,127673,9553531,250418250,6614991.24,62638603,100401170,95280,4290945,96343774,69859467,26860852.3,2737153,17770496,3465475,399548,27553068,8384989,10689091.16,15203443,2101419,2946368,62238347,258058,11739057,1605098,1324111,198989,1879094,17220416.49,3188783,687453,3365962,296412,16592726.97,89079501,4485887,5435171,0,962596,4813881,1282352,7063269,161880,34451966,31775,0,71700,0,0,0,0,257834,0,0,0,0,41372,13601522
"CHE",2214485553.22,229938976.4,1180983169.56,4264310871.64,53542515.24,9270996.79,1149339902.95,22387758.49,1793005464.09,0,150486598.27,2941104970.73,215717237.65,71414424.32,23849685.84,57242135.6499999,1130195472.78,26090723454.69,923981083.75,14462386,50207176.08,4787416465.65,75842201.34,31503277.98,639303289.580001,3561877.5,11180859526.88,6146849622.25,31126239.86,866098194.399999,63475038.86,1270251.66,3342205488.99,20757197.11,1402243,763771883.08,262885420,4355305587.19,723682259.189999,1257403124.77,2326798416.06,11886786758.89,27209471.46,5215777737.16,6385087.46,1192015439.95,477434387.26,135425043.1,106400508.03,940817908.15,61481156.57,1227386527.19,7412929.91,3983808167.33,551757944.68,188855921.85,462412783.15,169748379.91,85783058.14,169441787,1161367343.56,524821688.35,121754292.32,469190949.13,1254454144.05,1484232654.82,33662302,1684245593.46,24103151.35,1416163,292190721.35,334439970.24,1207748526.1,1358964012.33,20392753.54,4123784710.9,26754183.67,232616419,19584940.98,13311089847.6,133259400,859510161.94,737761621.02,39483425.85,2773017.45,106847442.25,183526137.89,104146118.66,114494464.77,93344322.33,2147251.42,11732822.69,195183972.4,9471127.42,18475057.57,264368922.31,80121661.81,172379161.28,59658428.23,5277189.4,100283706.96,273566743.58,16680648.8,10734422.33,65454743.5999999,4996983.12,7282946.5,39932574.51,7410419.32,15654498.25,80574334.95,204996303.13,19645846.1,123867578.61,129348280.46,131450.26,142143691.29,7912207.09,14495926.05,27472312.7,85330305.3499999,22841892.25,2113221.36,2681426.12,13825103.01,21198799.69,11880658,0,9315,2244781,313428784,10933862.07,39410076,120489490,825599.02,663724,225615132,150348453,35579074.18,677759,3590895,547094,1463534,4226939,156132187,10844114.56,2583367,7774672,8824228,17497363,585923,4665174,271640,1540654,1117727,2604383,19408,0,1553503,11771114,3929843,1385031.85,95305192,4004314,525776,11751071,9042,1728221,1540109,26130300,0,19513507,1413025,209424,0,2837,1416281,43268,48770,150563,0,0,9832,0,0,2473
