year;origin;dest;export_val;import_val
2005;abw;ant;26265580.53000001;25352048.74
2005;abw;are;0.0;64502.67
2005;abw;arg;0.0;273493.87
2005;abw;atg;0.0;15958.93
2005;abw;aus;0.0;778907.0
2005;abw;aut;8114391.0;1250416.19
2005;abw;bhs;2686499.35;3272455.27
2005;abw;blx;37555974.81;2824942.69
2005;abw;bol;0.0;36272.0
2005;abw;bra;108648361.24000001;362975972.85
2005;abw;brb;1047026.95;892266.0499999999
2005;abw;can;42576512.06;10689091.159999998
2005;abw;che;3229.0;10844114.56
2005;abw;chl;10666.0;1337659.68
2005;abw;chn;129459.09;9196544.170000002
2005;abw;col;20799884.87;146622205.47999996
2005;abw;cri;130667799.21;1756750.33
2005;abw;cub;863962.45;350828.04
2005;abw;cym;25458.0;0.0
2005;abw;cyp;7799.0;196503.62
2005;abw;cze;0.0;44808.0
2005;abw;deu;646547.48;8368129.8100000005
2005;abw;dma;0.0;18133.14
2005;abw;dnk;89505.0;25471293.74
2005;abw;dom;61931.0;1624182.2000000002
2005;abw;ecu;5587.0;12731372.11
2005;abw;esp;133639475.53999999;11774970.34
2005;abw;est;0.0;3218.0
2005;abw;eth;272989.0;0.0
2005;abw;fin;5256.0;1126934.71
2005;abw;fji;23854.0;12330.0
2005;abw;fra;114719680.36;14023876.34
2005;abw;gbr;39861522.28;42578450.580000006
2005;abw;gha;0.0;42233.0
2005;abw;grc;1053.0;152582.46000000002
2005;abw;grd;2962.0;0.0
2005;abw;gtm;0.0;537049.09
2005;abw;guy;16004.0;692363.0
2005;abw;hkg;33862.0;3750745.38
2005;abw;hnd;1321575.05;1476440.0
2005;abw;hti;21071.0;4611.0
2005;abw;hun;0.0;1000.0
2005;abw;idn;0.0;212131.31
2005;abw;ind;0.0;1534178.44
2005;abw;irl;0.0;1972425.0
2005;abw;irn;0.0;71291.0
2005;abw;isr;37000.0;394948.55
2005;abw;ita;13976.0;15357522.549999999
2005;abw;jam;1595601.0899999999;1272623.71
2005;abw;jpn;0.0;942755.1900000001
2005;abw;khm;56386.41;0.0
2005;abw;kor;1017.0;15026142.68
2005;abw;lbn;2000.0;10232.0
2005;abw;lca;3823.0;0.0
2005;abw;lka;8846.0;51923.0
2005;abw;ltu;0.0;12429.0
2005;abw;mex;25187174.36;1448960304.8500001
2005;abw;mlt;0.0;2524.0
2005;abw;mys;0.0;221164.87000000002
2005;abw;nic;3872.25;0.0
2005;abw;nld;58596058.38;112642114.66999999
2005;abw;nor;13116.0;151949.0
2005;abw;nzl;1319.0;206653.0
2005;abw;pak;0.0;40723.0
2005;abw;pan;976448.0;11374284.320000002
2005;abw;per;635291.54;2911261.06
2005;abw;phl;0.0;110598.51999999999
2005;abw;pol;0.0;868100.0
2005;abw;prt;0.0;66450.33
2005;abw;pry;0.0;472452.0
2005;abw;rou;2311015.77;47791.0
2005;abw;rus;0.0;25058499.28
2005;abw;sau;16040570.34;0.0
2005;abw;sdn;0.0;132394.14
2005;abw;sgp;3407.0;6470.0
2005;abw;slv;483315.6;131989.0
2005;abw;sur;15663.0;21490.29
2005;abw;svk;2815.0;29609.0
2005;abw;svn;55988.37000000001;3939.0
2005;abw;swe;16169727.83;428718.81
2005;abw;tha;0.0;3464233.5700000003
2005;abw;tto;40584504.199999996;7377601.33
2005;abw;tur;0.0;940043.6799999999
2005;abw;tza;3940.0;0.0
2005;abw;ukr;5920.0;0.0
2005;abw;ury;39208.58;875240.0
2005;abw;usa;2800894604.53;629407753.6099997
2005;abw;vct;0.0;25022.0
2005;abw;ven;6944006.0;10398081.41
2005;abw;vnm;0.0;87416.0
2005;abw;xxb;0.0;97773.16
2005;abw;xxh;76425.0;3197243.2500000005
2005;abw;zaf;1795.0;2932838.41
2005;afg;are;3135056.4999999995;464862028.0
2005;afg;arg;0.0;494033.0
2005;afg;aus;152847.0;942734.0
2005;afg;aut;49153.42;13930081.0
2005;afg;aze;1132.0;11677232.0
2005;afg;bfa;21663.12;0.0
2005;afg;bgd;6618323.300000001;896020.0
2005;afg;bgr;3678.0;512605.0
2005;afg;bhr;64044.630000000005;31800.0
2005;afg;bih;1855.0;52610.0
2005;afg;blr;126395.98;11721900.0
2005;afg;blx;7342453.0;17850766.0
2005;afg;blz;137882.0;0.0
2005;afg;bra;315546.93;1437900.0
2005;afg;can;344497.83999999997;15203443.0
2005;afg;che;183867.0;2583367.0
2005;afg;chl;7590.0;10244.0
2005;afg;chn;1510403.0;51165638.0
2005;afg;cmr;1587.0;0.0
2005;afg;col;15422.0;12000.0
2005;afg;com;13454.0;0.0
2005;afg;cri;43375.0;0.0
2005;afg;cub;53785.21;0.0
2005;afg;cyp;61502.0;50854.0
2005;afg;cze;476225.18;4723070.0
2005;afg;deu;3665765.86;140207000.0
2005;afg;dnk;3321026.0;8383457.0
2005;afg;dza;45254.0;0.0
2005;afg;ecu;3670.0;144600.0
2005;afg;esp;1312060.5599999998;7500968.0
2005;afg;est;23805.0;71204.0
2005;afg;fin;10705426.45;1355559.0
2005;afg;fji;2684.0;0.0
2005;afg;fra;745014.53;30457794.0
2005;afg;gab;364812.96;0.0
2005;afg;gbr;719660.94;25801020.0
2005;afg;geo;3338.0;884709.0
2005;afg;grc;486923.32;718352.0
2005;afg;gtm;32094.0;32510.0
2005;afg;guy;0.0;5940.0
2005;afg;hnd;2319301.06;0.0
2005;afg;hrv;9502.0;128055.0
2005;afg;hun;5000.0;2359000.0
2005;afg;ind;53520288.70000001;146965706.0
2005;afg;irl;2662428.5;3005074.0
2005;afg;irn;5915069.23;482251447.0
2005;afg;isl;11989.0;0.0
2005;afg;isr;1499514.75;119000.0
2005;afg;ita;1965078.0;26685969.0
2005;afg;jpn;230049.4;76290527.0
2005;afg;kaz;148012.39;163899665.0
2005;afg;ken;15633.56;19424776.0
2005;afg;kgz;182565.46;12383263.0
2005;afg;khm;0.0;40799.0
2005;afg;kor;67309.36;59623840.0
2005;afg;lbn;30000.0;490000.0
2005;afg;lka;118347.14;2037054.0
2005;afg;ltu;13367.0;10714765.0
2005;afg;lva;0.0;302011.0
2005;afg;mar;2471.0;130376.0
2005;afg;mda;1655.11;0.0
2005;afg;mdg;0.0;127901.0
2005;afg;mex;361068.67;162453.0
2005;afg;mkd;0.0;20827.0
2005;afg;mli;18532.99;0.0
2005;afg;mlt;157131.0;512675.0
2005;afg;moz;147092.84;15974.0
2005;afg;mus;7968.83;0.0
2005;afg;mys;6631.11;5409222.0
2005;afg;ncl;5905.82;0.0
2005;afg;ner;15714.0;0.0
2005;afg;nld;84134.64;79295005.0
2005;afg;nor;146547.36;2105623.0
2005;afg;nzl;1094176.24;286315.0
2005;afg;omn;0.0;781093.0
2005;afg;pak;49558057.4;1064647567.0
2005;afg;per;50068.0;15739.0
2005;afg;pol;2371471.92;5235667.0
2005;afg;prt;0.0;133814.0
2005;afg;qat;644464.73;16483.0
2005;afg;rou;26449.0;115176.0
2005;afg;rus;3740542.36;104393103.0
2005;afg;sau;508543.94;3161192.0
2005;afg;sen;93789.0;44150.0
2005;afg;sgp;2569419.19;3734822.0
2005;afg;slv;124953.0;0.0
2005;afg;srb;40227.0;272282.0
2005;afg;svk;0.0;436488.0
2005;afg;svn;26264.9;599442.0
2005;afg;swe;2009.0;2107546.0
2005;afg;syr;88910.0;0.0
2005;afg;tha;321403.27;57924597.0
2005;afg;tls;0.0;97150.0
2005;afg;tto;217867.94;4599.0
2005;afg;tun;1202575.3399999999;270072.0
2005;afg;tur;8074394.64;111151767.0
2005;afg;uga;27058.51;0.0
2005;afg;ury;2860.0;22974.0
2005;afg;usa;24498047.3;253908151.0
2005;afg;vnm;0.0;1249772.0
2005;afg;zaf;215497.0;8071725.0
2005;afg;zwe;0.0;4024.0
2005;ago;alb;0.0;3459.0
2005;ago;and;0.0;1320.0
2005;ago;ant;1892.0;13016.0
2005;ago;are;23017228.29;93460356.0
2005;ago;arg;0.0;139245862.0
2005;ago;arm;0.0;856340.0
2005;ago;aus;34845.58;1421404.0
2005;ago;aut;52721.68;3879721.0
2005;ago;bfa;0.0;3691.0
2005;ago;bgd;0.0;66802.0
2005;ago;bgr;0.0;527733.0
2005;ago;blr;0.0;2049000.0
2005;ago;blx;520607829.06999993;166513991.0
